label,count,percentage,imbalance_ratio_vs_largest
Gammarus sp,987,37.04,1.0
Simuliidae sp,374,14.03,2.64
Asellus sp,294,11.03,3.36
Sericostomatidae sp,151,5.67,6.54
Oligochaeta sp,134,5.03,7.37
Sphaerium sp,127,4.77,7.77
Baetidae sp,109,4.09,9.06
Erpobdella sp,107,4.02,9.22
Nemoura sp,106,3.98,9.31
Hydropsychidae sp,69,2.59,14.3
Ephemerellidae,68,2.55,14.51
Elmis sp,45,1.69,21.93
Lymnea sp,33,1.24,29.91
Leuctra sp,19,0.71,51.95
Sialis sp,19,0.71,51.95
Limnius sp,14,0.53,70.5
Leptophlebiidae sp,9,0.34,109.67
